"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"801","Italy","Yes","Yes","Yes"
"802","Bangladesh","Yes","Yes","Yes"
"803","United States","No","Yes","Yes"
"804","United States","No","Yes","Yes"
"806","India","No","Yes","Yes"
"807","United States","No","Yes","No"
"809","United States","No","Yes","Yes"
"810","Georgia","No","Yes","Yes"
"811","France","No","Yes","Yes"
"812","India","No","Yes","Yes"
"813","Germany","No","Yes","Yes"
"814","China","No","Yes","Yes"
"817","United States","No","Yes","Yes"
"818","Mexico","No","Yes","Yes"
"819","Austria","No","Yes","Yes"
"820","Russian Federation","No","Yes","Yes"
"821","Singapore","No","Yes","Yes"
"823","Egypt","No","Yes","Yes"
"824","United Kingdom","No","Yes","No"
"825","France","No","Yes","Yes"
"826","United States","No","Yes","Yes"
"827","Brazil","No","Yes","Yes"
"828","Italy","No","Yes","Yes"
"829","Hungary","No","Yes","Yes"
"831","Canada","No","Yes","Yes"
"832","Germany","No","Yes","Yes"
"833","Germany","Yes","Yes","Yes"
"834","United States","No","Yes","Yes"
"835","Netherlands","No","Yes","Yes"
"836","United States","No","Yes","Yes"
"837","Italy","No","Yes","Yes"
"838","Bangladesh","No","Yes","Yes"
"839","Costa Rica","No","Yes","Yes"
"840","Italy","No","Yes","Yes"
"841","United States","No","Yes","Yes"
"842","China","No","Yes","Yes"
"843","Jersey","No","Yes","Yes"
"845","Egypt","Yes","Yes","Yes"
"846","Egypt","No","Yes","Yes"
"847","France","No","Yes","Yes"
"848","Israel","No","Yes","Yes"
"849","United States","No","Yes","Yes"
"850","Mexico","No","Yes","Yes"
"852","United States","No","Yes","Yes"
"853","Egypt","Yes","Yes","No"
"854","Canada","No","Yes","Yes"
"857","United States","No","Yes","Yes"
